GraphID,NumNodes,NumEdges,MaxPossibleEdges,DensityCategory,DensityValue,MatrixCreationTime_ms,ListCreationTime_ms,Matrix_Exec_Time_ms,List_Exec_Time_ms,Algorithm,Algorithm_Name,Algorithm_Type_Code,Best_Representation
g_dfs_10_Medium_5,10,11.0,45.0,Medium,0.2444444444444444,0.0135419995785923,0.0019170001905877,0.0071580001531401,0.0008581999281886,DFS,DFS,1,1
g_dfs_10_Dense_1,10,27.0,45.0,Dense,0.6,0.0175000004674075,0.0014999986888142,0.0064582007325952,0.0011249998351559,DFS,DFS,1,1
g_dfs_10_Dense_2,10,27.0,45.0,Dense,0.6,0.0133339999592863,0.0013749995559919,0.0065077998442575,0.0011663993063848,DFS,DFS,1,1
g_dfs_10_Dense_3,10,27.0,45.0,Dense,0.6,0.01591699947312,0.0017080001271096,0.0071915994340088,0.0012002001312794,DFS,DFS,1,1
g_dfs_10_Dense_4,10,27.0,45.0,Dense,0.6,0.0135829995997482,0.0013749995559919,0.0071414004196412,0.0011836000339826,DFS,DFS,1,1
g_dfs_10_Dense_5,10,27.0,45.0,Dense,0.6,0.0144169989653164,0.001582999175298,0.0071162001404445,0.0011668002116493,DFS,DFS,1,1
g_dfs_50_Sparse_1,50,61.0,1225.0,Sparse,0.0497959183673469,0.0336249995598336,0.0061669998103752,0.00576659986109,0.000233400351135,DFS,DFS,1,1
g_dfs_50_Sparse_2,50,61.0,1225.0,Sparse,0.0497959183673469,0.0303329998132539,0.0058750010794028,0.1355246004095534,0.004324800465838,DFS,DFS,1,1
g_dfs_50_Sparse_3,50,61.0,1225.0,Sparse,0.0497959183673469,0.0338749996444676,0.0114999984361929,0.1358831999823451,0.0043082000047434,DFS,DFS,1,1
g_dfs_50_Sparse_4,50,61.0,1225.0,Sparse,0.0497959183673469,0.0352910010406049,0.006250000296859,0.0031001993193058,0.000158399780048,DFS,DFS,1,1
g_dfs_50_Sparse_5,50,61.0,1225.0,Sparse,0.0497959183673469,0.0296660000458359,0.0058330006140749,0.1300669999181991,0.0037585999962175,DFS,DFS,1,1
g_dfs_50_Medium_1,50,306.0,1225.0,Medium,0.2497959183673469,0.0887909991433844,0.0075000007200287,0.1469584003643831,0.0075001997174695,DFS,DFS,1,1
g_dfs_50_Medium_2,50,306.0,1225.0,Medium,0.2497959183673469,0.0936670003284234,0.008082999556791,0.1516413998615462,0.0072579998231958,DFS,DFS,1,1
g_dfs_50_Medium_3,50,306.0,1225.0,Medium,0.2497959183673469,0.1094580002245493,0.0076670003181789,0.1404165996063966,0.0070833997597219,DFS,DFS,1,1
g_dfs_50_Medium_4,50,306.0,1225.0,Medium,0.2497959183673469,0.1267920015379786,0.0082499991549411,0.1959084002010058,0.0084249993960838,DFS,DFS,1,1
g_dfs_50_Medium_5,50,306.0,1225.0,Medium,0.2497959183673469,0.0903750005818437,0.0070829992182552,0.1314500001171836,0.0070915997639531,DFS,DFS,1,1
g_dfs_50_Dense_1,50,735.0,1225.0,Dense,0.6,0.1808329998311819,0.0095420000434387,0.1784747993951896,0.0235753999731969,DFS,DFS,1,1
g_dfs_50_Dense_2,50,735.0,1225.0,Dense,0.6,0.1968750002561137,0.0110000000859145,0.1494832002208568,0.0114001999463653,DFS,DFS,1,1
g_dfs_50_Dense_3,50,735.0,1225.0,Dense,0.6,0.1852090008469531,0.0106250008684583,0.1618083999346709,0.0130495991470525,DFS,DFS,1,1
g_dfs_50_Dense_4,50,735.0,1225.0,Dense,0.6,0.1985409999178955,0.0789169989729998,0.1386663996527204,0.0115833998279413,DFS,DFS,1,1
g_dfs_50_Dense_5,50,735.0,1225.0,Dense,0.6,0.1672079997661057,0.0081670004874467,0.1333418003923725,0.011541400454007,DFS,DFS,1,1
g_dfs_100_Sparse_1,100,247.0,4950.0,Sparse,0.0498989898989899,0.1179169994429685,0.0176670000655576,0.5325913996784948,0.009783200584934,DFS,DFS,1,1
g_dfs_100_Sparse_2,100,247.0,4950.0,Sparse,0.0498989898989899,0.0963749989750795,0.0124159996630623,0.5116830001497874,0.0102417998277815,DFS,DFS,1,1
g_dfs_100_Sparse_3,100,247.0,4950.0,Sparse,0.0498989898989899,0.0792079990787897,0.0110000000859145,0.5072745996585581,0.0101580004411516,DFS,DFS,1,1
g_dfs_100_Sparse_4,100,247.0,4950.0,Sparse,0.0498989898989899,0.0799159988673636,0.0107079995359526,0.544383400483639,0.0116417999379336,DFS,DFS,1,1
g_dfs_100_Sparse_5,100,247.0,4950.0,Sparse,0.0498989898989899,0.1085000003513414,0.0129579984786687,0.5198081998969428,0.0096168001618934,DFS,DFS,1,1
g_dfs_100_Medium_1,100,1237.0,4950.0,Medium,0.2498989898989899,0.2892920001613674,0.0167500002135057,0.544792199798394,0.0225417996261967,DFS,DFS,1,1
g_dfs_100_Medium_2,100,1237.0,4950.0,Medium,0.2498989898989899,0.2995000013470417,0.0162080013978993,0.5433168003946776,0.0244161998125491,DFS,DFS,1,1
g_dfs_100_Medium_3,100,1237.0,4950.0,Medium,0.2498989898989899,0.2813329992932267,0.0147909995575901,0.5186581998714246,0.0200832000700756,DFS,DFS,1,1
g_dfs_100_Medium_4,100,1237.0,4950.0,Medium,0.2498989898989899,0.2931670005636988,0.0169170016306452,0.5916835998505121,0.0216916003410005,DFS,DFS,1,1
g_dfs_100_Medium_5,100,1237.0,4950.0,Medium,0.2498989898989899,0.279833999229595,0.0148340004670899,0.5233413994574221,0.0204999996640253,DFS,DFS,1,1
g_dfs_100_Dense_1,100,2970.0,4950.0,Dense,0.6,0.6875420003780164,0.0357500011887168,0.5768335999164265,0.0427997998485807,DFS,DFS,1,1
g_dfs_100_Dense_2,100,2970.0,4950.0,Dense,0.6,0.66191699988849,0.0272090001089964,0.5986084001051495,0.0405749997298698,DFS,DFS,1,1
g_dfs_100_Dense_3,100,2970.0,4950.0,Dense,0.6,0.653582999802893,0.0282499986496986,0.6000913999741897,0.0563251996936742,DFS,DFS,1,1
g_dfs_100_Dense_4,100,2970.0,4950.0,Dense,0.6,0.6567920008819783,0.0267079994955565,0.5645752000418724,0.0400167999032419,DFS,DFS,1,1
g_dfs_100_Dense_5,100,2970.0,4950.0,Dense,0.6,0.6554580013471423,0.0246250001509906,0.6367917998431949,0.0474918000691104,DFS,DFS,1,1
g_dfs_200_Sparse_1,200,995.0,19900.0,Sparse,0.05,0.2733750006882474,0.0267920004262123,2.133908200266887,0.0272166002105223,DFS,DFS,1,1
g_dfs_200_Sparse_2,200,995.0,19900.0,Sparse,0.05,0.2612079988466576,0.0295829995593521,2.0977001997380285,0.0282080007309559,DFS,DFS,1,1
g_dfs_200_Sparse_3,200,995.0,19900.0,Sparse,0.05,0.2729170009843074,0.0321250008710194,2.1417665997432778,0.0242999994952697,DFS,DFS,1,1
g_dfs_200_Sparse_4,200,995.0,19900.0,Sparse,0.05,0.2835830000549322,0.072750000981614,2.1178583996515954,0.0247332005528733,DFS,DFS,1,1
g_dfs_200_Sparse_5,200,995.0,19900.0,Sparse,0.05,0.255375000051572,0.0260419983533211,2.1071583996672416,0.0253500002145301,DFS,DFS,1,1
g_dfs_200_Medium_1,200,4975.0,19900.0,Medium,0.25,1.1660830004984746,0.0584169993089744,2.171683199776453,0.0799999997980194,DFS,DFS,1,1
g_dfs_200_Medium_2,200,4975.0,19900.0,Medium,0.25,1.1337079995428212,0.0470840004709316,2.1298250001564156,0.0732751996110891,DFS,DFS,1,1
g_dfs_200_Medium_3,200,4975.0,19900.0,Medium,0.25,1.1231250009586802,0.0453749998996499,2.1973581995553104,0.0745832006941782,DFS,DFS,1,1
g_dfs_200_Medium_4,200,4975.0,19900.0,Medium,0.25,1.1534999994182726,0.0523749986314214,2.2171000004163943,0.0777918001404032,DFS,DFS,1,1
g_dfs_200_Medium_5,200,4975.0,19900.0,Medium,0.25,1.155333000497194,0.0540839992027031,2.219716399849858,0.0766500001191161,DFS,DFS,1,1
g_dfs_200_Dense_1,200,11940.0,19900.0,Dense,0.6,2.6517499991314253,0.1023330005409661,2.3414169998432044,0.1711498000076972,DFS,DFS,1,1
g_dfs_200_Dense_2,200,11940.0,19900.0,Dense,0.6,2.682125001228997,0.0795420000940794,2.369441599876154,0.1567918003274826,DFS,DFS,1,1
g_dfs_200_Dense_3,200,11940.0,19900.0,Dense,0.6,2.696707999348291,0.065083000663435,2.339008199851378,0.1707997998892096,DFS,DFS,1,1
g_dfs_200_Dense_4,200,11940.0,19900.0,Dense,0.6,2.784333000818151,0.0765830009186174,2.2766582005715463,0.1647582004807191,DFS,DFS,1,1
g_dfs_200_Dense_5,200,11940.0,19900.0,Dense,0.6,2.62687500071479,0.0709159994585206,2.265016799719888,0.1669749999564374,DFS,DFS,1,1
g_dfs_500_Sparse_1,500,6237.0,124750.0,Sparse,0.0499959919839679,1.5976659997249951,0.1609999999345746,14.113908200306469,0.1573334000568138,DFS,DFS,1,1
g_dfs_500_Sparse_2,500,6237.0,124750.0,Sparse,0.0499959919839679,1.5727499994682148,0.1272080007765907,14.107649600191507,0.1601500003744149,DFS,DFS,1,1
g_dfs_500_Sparse_3,500,6237.0,124750.0,Sparse,0.0499959919839679,1.6325000015058322,0.84183299986762,14.095216799614718,0.1567584000440547,DFS,DFS,1,1
